, Product ID,Product Name,Category,Rating,Image URL,Price,Color,Description,RAM_GB,Storage_GB,Text
0,AIR_001,Bespoke AI Inverter Split AC AR50H12D1XH,Air Conditioner,4.3,https://images.samsung.com/is/image/samsung/p6pim/in/ar50h18d14hnna/energylabel/in-energylabel-product-ar50h18d14hnna-550681212?$684_547_PNG$,43990.0,white,3.35 kW Bespoke AI Inverter Split AC with 3 Star energy rating,0.0,0.0,Bespoke AI Inverter Split AC AR50H12D1XH 3.35 kW Bespoke AI Inverter Split AC with 3 Star energy rating
1,AIR_002,Bespoke AI Inverter Split AC AR50H18D14H,Air Conditioner,4.4,https://images.samsung.com/is/image/samsung/p6pim/in/ar50h18d14hnna/energylabel/in-energylabel-product-ar50h18d14hnna-550681212?$684_547_PNG$,49990.0,white,4.8 kW Bespoke AI Inverter Split AC with 4 Star energy rating,0.0,0.0,Bespoke AI Inverter Split AC AR50H18D14H 4.8 kW Bespoke AI Inverter Split AC with 4 Star energy rating
2,AIR_003,Bespoke AI Inverter Split AC AR50H18D1ZH,Air Conditioner,4.5,https://images.samsung.com/is/image/samsung/p6pim/in/ar50h18d1zhnna/energylabel/in-energylabel-product-ar50h18d1zhnna-thumb-550681146?$Q90_330_330_F_PNG$,52990.0,white,4.75 kW Bespoke AI Inverter Split AC with 5 Star energy rating,0.0,0.0,Bespoke AI Inverter Split AC AR50H18D1ZH 4.75 kW Bespoke AI Inverter Split AC with 5 Star energy rating
3,AIR_004,Bespoke AI WindFree Inverter Split AC AR60H18D14W,Air Conditioner,4.5,https://images.samsung.com/is/image/samsung/p6pim/in/ar60h18d14wnna/energylabel/in-energylabel-product-ar60h18d14wnna-thumb-550681101?$Q90_330_330_F_PNG$,55990.0,white,4.75 kW Bespoke AI WindFree Inverter Split AC with 5 Star energy rating,0.0,0.0,Bespoke AI WindFree Inverter Split AC AR60H18D14W 4.75 kW Bespoke AI WindFree Inverter Split AC with 5 Star energy rating
4,AIR_005,Bespoke AI WindFree Inverter Split AC AR60H18D15W,Air Conditioner,4.5,https://images.samsung.com/is/image/samsung/p6pim/in/ar60h18d15wnna/energylabel/in-energylabel-product-ar60h18d15wnna-thumb-550680918?$Q90_330_330_F_PNG$,56990.0,white,4.75 kW Bespoke AI WindFree Inverter Split AC with 5 Star energy rating,0.0,0.0,Bespoke AI WindFree Inverter Split AC AR60H18D15W 4.75 kW Bespoke AI WindFree Inverter Split AC with 5 Star energy rating
5,AIR_006,Bespoke AI Inverter Split AC AR50H12D1LH,Air Conditioner,4.3,https://images.samsung.com/is/image/samsung/p6pim/in/ar50h12d1lhnna/energylabel/in-energylabel-product-ar50h12d1lhnna-thumb-550681273?$Q90_330_330_F_PNG$,43990.0,white,3.35 kW Bespoke AI Inverter Split AC with 3 Star energy rating,0.0,0.0,Bespoke AI Inverter Split AC AR50H12D1LH 3.35 kW Bespoke AI Inverter Split AC with 3 Star energy rating
6,AIR_007,Bespoke AI WindFree Inverter Split AC AR60H18D1YW,Air Conditioner,4.5,https://images.samsung.com/is/image/samsung/p6pim/in/ar60h18d1ywnna/energylabel/in-energylabel-product-ar60h18d1ywnna-thumb-550681117?$Q90_330_330_F_PNG$,55990.0,white,4.75 kW Bespoke AI WindFree Inverter Split AC with 5 Star energy rating,0.0,0.0,Bespoke AI WindFree Inverter Split AC AR60H18D1YW 4.75 kW Bespoke AI WindFree Inverter Split AC with 5 Star energy rating
7,AIR_008,Bespoke AI Inverter Split AC AR50H18D15H,Air Conditioner,4.5,https://images.samsung.com/is/image/samsung/p6pim/in/ar50h18d15hnna/energylabel/in-energylabel-product-ar50h18d15hnna-thumb-550681200?$Q90_330_330_F_PNG$,52990.0,white,4.75 kW Bespoke AI Inverter Split AC with 5 Star energy rating,0.0,0.0,Bespoke AI Inverter Split AC AR50H18D15H 4.75 kW Bespoke AI Inverter Split AC with 5 Star energy rating
8,AIR_009,Bespoke AI Inverter Split AC AR50H18D1NH,Air Conditioner,4.5,https://images.samsung.com/is/image/samsung/p6pim/in/ar50h18d1nhnna/energylabel/in-energylabel-product-ar50h18d1nhnna-thumb-550681157?$Q90_330_330_F_PNG$,52990.0,white,4.75 kW Bespoke AI Inverter Split AC with 5 Star energy rating,0.0,0.0,Bespoke AI Inverter Split AC AR50H18D1NH 4.75 kW Bespoke AI Inverter Split AC with 5 Star energy rating
9,AIR_010,Bespoke AI WindFree Inverter Split AC AR60H18D1ZW,Air Conditioner,4.5,https://images.samsung.com/is/image/samsung/p6pim/in/ar60h18d1zwnna/energylabel/in-energylabel-product-ar60h18d1zwnna-thumb-550681068?$Q90_330_330_F_PNG$,55990.0,white,4.75 kW Bespoke AI WindFree Inverter Split AC with 5 Star energy rating,0.0,0.0,Bespoke AI WindFree Inverter Split AC AR60H18D1ZW 4.75 kW Bespoke AI WindFree Inverter Split AC with 5 Star energy rating
